Preguntas,Categoría,Respuesta
Necesito encontrar el plan de estudios de Matemática Aplicada en la FAMAF,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
¿Dónde puedo conseguir el plan de estudio de la carrera de Hidrometeorología en la FAMAF?,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
¿Cómo hago para conseguir el plan de estudio del Profesorado en Matemática en la FAMAF?,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
plan de estudio profesorado fisica famaf,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
Plan de estudio Analista en Computación 2024 pdf,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
Cómo hago para encontrar el plan de estudio de la Tecnicatura en Matemática Aplicada,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
Vos sabés dónde puedo ver el plan de estudio de la Tecnicatura en Astronomía de la FAMAF,Información General,"Los planes de estudio los podés encontrar ingresando al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Ahí podrás ver todos los planes de estudio ingresando en la carrera que te interese."
Pasos para anotarse en el examen final de Álgebra,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de análisis matemático,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
"Vos que sabés, cómo hago para inscribirme al final de Introducción a la Física?",Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Física General UNC,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
"Para dar el final de Álgebra II, que tengo que hacer?",Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me registro para el final de Análisis Numérico II?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me anoto para el examen final de Geometría Diferencial?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me registro para rendir el examen final de probabilidad?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me anoto para el final de Análisis Numérico I?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Análisis Matemático III,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me registro para el final de Álgebra III?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Análisis Matemático II,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para inscribirse al final de Seminarios Astronómicos,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Me podés decir dónde y cómo me inscribo para el final de Física Experimental?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me anoto para el final de Física General II?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
"Quiero rendir el final de Astronomía General, pasos para inscribirme",Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Métodos Matemáticos de la Física,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me registro para el examen final de Física Experimental II?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me anoto para el final de Métodos Numéricos?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Introducción a los Algoritmos,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me inscribo para el final de Matemática Discreta?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
"Necesito ayuda para inscribirme para el final de Algoritmos y Estructuras de Datos, me podés dar una mano?",Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde me anoto para el examen final de Algoritmos y Estructuras de Datos II?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Estadística en FAMAF,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
"Quiero rendir el final de Organización del Computador, pasos para inscribirme",Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen de estadística FAMAF,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde me inscribo para el examen final de Introducción a la Lógica y la Computación?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Cuál es el proceso para inscribirse al examen final de Introducción a la Lógica?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de sistemas operativos,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde me inscribo para el examen final de Algoritmos y Programación?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para inscribirse al examen final de Cálculo,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para inscribirse en el examen de Cálculo II,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Álgebra Lineal FAMAF,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de física,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
"Para dar el final de Física II, qué pasos sigo",Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Cálculo Vectorial,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse al final de Funciones Complejas,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿Dónde y cómo me registro para el examen final de Complementos de Álgebra Lineal?,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el final de Psicología del Aprendizaje UNC,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Procedimiento inscripción examen final Elementos de Física FAMAF,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Cómo hago para inscribirme al examen final de Pedagogía,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Geometría en FAMAF,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
Pasos para anotarse en el examen final de Complementos de Análisis,Exámenes,"Ingresá a Guaraní. Una vez dentro, seleccioná la opción ""Inscripción a Exámenes"", elegí la materia a la cual quieras inscribirte para rendir, después seleccioná en el menú desplegable si querés inscribirte al examen como libre o regular, y luego hacé clic en ""Inscribirse""."
¿En qué sitio de la FAMAF están las correlatividades de matemática?,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
Dónde encuentro las correlatividades de la carrera de astronomía,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
como hago para ver las correlativas de fisica,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
Dónde encuentro las correlatividades de la carrera de computacion,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
Dónde encuentro las correlatividades de la materia Matemática Aplicada,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
Hidrometeorología correlatividades dónde ver,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
Sabés donde está la info de las correlatividades para el Profesorado en Matemática,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
¿Cómo hago para ver las correlatividades del Profesorado en Física?,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
Dónde encuentro el cuadro de correlatividades de la carrera de Analista en Computación FAMAF,Información General,"Para consultar las correlatividades de una carrera, debés ingresar al siguiente enlace:

https://www.famaf.unc.edu.ar/academica/grado/

Una vez allí, seleccioná la carrera que te interese y, dentro de la sección “Características de la Carrera”, vas a encontrar el “Régimen de Correlatividades”, donde se detallan todas las correlatividades."
encuestas a los profesores cuándo son,Cursado,"Las encuestas correspondientes a las materias que se dicten en el primer cuatrimestre, con excepción de las materias anuales, deberán ser completadas entre el 10 de Junio y el 31 de Julio del año académico respectivo. Las encuestas sobre las materias que se dicten en el segundo cuatrimestre o de forma anual, deberán ser completadas entre el 10 de Noviembre y el 31 de Diciembre del año académico respectivo."
Completar encuestas de los profesores paso a paso,Cursado,"Las encuestas se responden a través del sistema Guaraní, los pasos son los siguientes:

1. Ingresar al Guaraní.
2. Clic en Reportes - Encuestas pendientes.
3. Ir completando todas las encuestas que el sistema pide, hasta que no quede ninguna en la lista.

Ante cualquier duda o consulta, contactarse al email despachoestudiantes@famaf.unc.edu.ar"
¿Dónde y cómo hago para completar las encuestas de las materias que cursé,Cursado,"Las encuestas se responden a través del sistema Guaraní, los pasos son los siguientes:

1. Ingresar al Guaraní.
2. Clic en Reportes - Encuestas pendientes.
3. Ir completando todas las encuestas que el sistema pide, hasta que no quede ninguna en la lista.

Ante cualquier duda o consulta, contactarse al email despachoestudiantes@famaf.unc.edu.ar"
examen final sin cursar materia,Exámenes,Para rendir el examen final de una materia que no cursaste debes tener las correlatividades de esa materia aprobadas y inscribite al exámen final como libre.
Proceso de inscripción para la ceremonia de colación de FAMAF UNC,Egreso,"Los pasos para inscribrte a la próxima colación los podes encontrar en el siguiente documento:

https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing

Una vez finalizado el circuito de egreso recibirás un email confirmando la inscricpión a la colación con el certificado Analítico y de Título en trámite.

Cualquier duda podes consultarte a nfigueroa@unc.edu.ar."
Procedimiento para obtener título intermedio UNC,Egreso,"Los pasos para inscribrte a la próxima colación los podes encontrar en el siguiente documento:

https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing

Una vez finalizado el circuito de egreso recibirás un email confirmando la inscricpión a la colación con el certificado Analítico y de Título en trámite.

Cualquier duda podes consultarte a nfigueroa@unc.edu.ar."
Me puedes decir qué hacer con el recibo de sueldo en el área de personal y sueldos de la FAMAF?,Personal y Sueldos,"Los recibos de haberes son enviados desde la SGI de la UNC al área. Es responsabilidad del agente retirarlos, firmarlos y conservar el cuerpo del recibo con el detalle de los montos abonados."
donde descargo los recibos de haberes de la UNC,Personal y Sueldos,"Sí. Existe un portal del empleado de la UNC donde pueden descargarse los recibos con código QR. Sin firma electrónica aún no sirven para certificar haberes ante organismos oficiales.

https://empleados.unc.edu.ar/autogestion/"
Qué ocurre cuando un agente no firma los últimos recibos antes de fallecer,Personal y Sueldos,Para que los beneficiarios puedan cobrar el seguro de vida es fundamental que el agente tenga los últimos tres recibos de haberes firmados y entregados en el Área de Personal y Sueldos.
Diferencias entre impuesto a las ganancias para empleados y autónomos,Personal y Sueldos,El impuesto a las ganancias aplica a quienes obtienen rentas. La UNC actúa como agente de retención para empleados alcanzados por Ganancias de cuarta categoría.
¿A qué área de la UNC le toca administrar las retenciones del impuesto a las ganancias?,Personal y Sueldos,"La Secretaría de Gestión Institucional de la UNC, a través del Área de Retenciones Impositivas, administra, controla y asesora sobre este impuesto."
Cómo están reguladas las licencias de los profesores de la FAMAF,Personal y Sueldos,"Las licencias docentes están reguladas por la Resolución 1222/2014 del HCS e incluyen actividades académicas, científicas y de investigación, con la correspondiente documentación."
Pasos para solicitar licencia docente cuando hay actividades en el exterior,Personal y Sueldos,"Cuando la licencia es al exterior del país, el docente debe enviar por correo electrónico al área de Personal y Sueldos el formulario en Excel para gestionar la cobertura de asistencia internacional.

personalysueldos@famaf.unc.edu.ar"
para nodocentes cómo se pide una licencia,Personal y Sueldos,Los agentes nodocentes deben ingresar al sistema de memos de FAMAF con usuario y contraseña provistos por el área y solicitar la licencia con la debida anticipación.
Licencia Anual Ordinaria para nodocentes explicación,Personal y Sueldos,Es un período de descanso anual con goce de haberes cuya duración depende de la antigüedad del agente.
Días de licencia por paternidad para empleados nodocentes,Personal y Sueldos,"Corresponden quince días hábiles con goce de haberes por nacimiento o adopción, previa presentación de la documentación respaldatoria."
licencia maternidad duración famaf,Personal y Sueldos,"La licencia por maternidad con goce de haberes es de ciento ochenta días, distribuidos en cuarenta y cinco días previos y ciento treinta y cinco posteriores al parto. En embarazos de alto riesgo puede ampliarse el período preparto."
certificado médico requisitos famaf,Personal y Sueldos,"Los certificados médicos deben ser legibles y contener membrete, nombre y DNI del agente, fecha de emisión, diagnóstico claro, período de reposo, firma y sello del profesional."
Procedimiento para validar certificados médicos emitidos en el exterior,Personal y Sueldos,"Debe estar firmado por el consulado argentino del país donde fue emitido y, cuando corresponda, acompañado por traducción al idioma castellano."
¿Existe la opción de rendir libre el cursillo de ingreso en FAMAF?,Información General,"Para rendir libre el curso de nivelación, primero tenes que hacer la inscripción definitiva y cuando llegue la fecha de examen inscribirte a rendir el cursillo desde Guaraní en la parte de ""Inscripción a Exámanes""."
"Realicé un trámite y no me llegó el email de confirmación, ¿por qué puede ser?",Información General,"Estamos trabajando para regularizar el envío de los correos de confirmación. Le solicitamos su paciencia, ya que el proceso puede demorar una semana o más."
"Al realizar un tramite me da error, como lo arreglo",Información General,"Disculpa, por el momento no puedo brindar ayuda específica.

Para obtener una respuesta precisa, te sugerimos comunicarte directamente por correo electrónico con el área correspondiente, según el tema de tu consulta:

- despachoestudiantes@famaf.unc.edu.ar: preinscripciones e inscripciones.
- usuarios.unc@famaf.unc.edu.ar: consultas sobre cuentas @unc o @mi.unc.
- sae@famaf.unc.edu.ar: becas, tutorías y tramitación del Régimen Especial de Cursado.
- nfigueroa@unc.edu.ar (Oficialía): gestión de diplomas y certificados, inscripción para cursar o rendir Trabajos Especiales y consultas sobre actas de examen.

Ellos van a poder orientarte mejor según tu situación.

IMPORTANTE: explica qué error tuviste, con qué trámite junto con tu nombre y apellido."
"Pasó la fecha de inscripción y no la hice, ¿hay algo que pueda hacer?",Información General,"Para inscribirte una vez que pasó la fecha, debes concurrir personalmente a despacho para evaluar si es posible la inscripción fuera del plazo."
¿Cuándo es la fecha límite para inscribirse a un examen en la FAMAF?,Exámenes,"Las inscripciones a los exámenes se realizarán a través del sistema Guaraní, a partir del sábado 14 de Febrero a las 9:00 hs hasta tres días hábiles antes del examen.

En caso de no encontrar la materia para rendir, o ser ésta una Especialidad, Optativa, Materia Vocacional, Materia para Estudiante Regular Internacional, la inscripción deberás realizarla en las mismas fechas, pero a través de éste formulario."
"No logro inscribirme al examen curso del curso de nivelación, ayuda",Ingreso,En caso de que no te deje inscribirte al examen del curso de nivelación debes escribirle a tu profesora a través del Aula Virtual.
"Necesito el certificado de asistencia al examen, ¿cómo lo obtengo?",Exámenes,"Debes dirigirte al despacho de alumnos antes del examen, solicitarles la hoja y en el examen pedirle al profesor que firme y luego llevarsela a despacho nuevamente para que te lo sellen."
¿Cuál es la fecha de apertura de inscripción a materias?,Cursado,"Las inscripciones a las materias de grado y posgrado se encuentran abiertas desde el día 2 de Marzo hasta el día 13 de Marzo del 2026 para las materias que se dictan en el primer cuatrimestre. Para las materias del segundo cuatrimestre, las inscripciones comienzan desde el día 3 de Agosto hasta el día 14 de Agosto. 

Para las materias del primer cuatrimestre del primer año las inscripciones se encuentran abiertas desde el 4 de Marzo hasta el 14 de Marzo."
Clases de grado y posgrado cuando empiezan,Cursado,"Las clases de las materias de grado y posgrado correspondientes al primer cuatrimestre del año 2026 comienzan el día 9 de Marzo hasta el día 19 de Junio, mientras que las clases materias del segundo cuatrimestre comienzan el día 10 de Agosto hasta el 19 de Noviembre."
¿Dónde encuentro el correo electrónico del Despacho de Estudiantes de FAMAF?,Información General,El correo del Despacho de Estudiantes es despachoestudiantes@famaf.unc.edu.ar
¿Dónde encuentro el correo de la Oficialía de la FAMAF?,Información General,Para comunicarte con la Oficialía podes hacerlo usando el correo nigueroa@unc.edu.ar
correo para consultar sobre el ingreso a la famaf,Información General,El correo para consultas relacionadas con el ingreso es ingreso@famaf.unc.edu.ar
¿Vos sabés dónde puedo encontrar el correo de la Secretaría de Posgrado?,Información General,Para comunicarte con la Secretaría de Posgrado podes hacerlo a través de posgrado@famaf.unc.edu.ar
Dónde consultar las materias optativas de computación,Cursado,"Las optativas de Computación en 2026 son:
- Computación  y Sociedad dicatada por Blanco, Javier Oscar.
- Electrónica para Laboratorios Experimentales de Investigación con Peretti, Gabriela Marta y Romero, Eduardo Abel.
- Introducción a la Didáctica de Computación e Inteligencia Artificial dicatada por Acosta, Araceli Natalia.
- Introducción al Análisis de Series Temporales con Flesia, Ana Georgina.
- Sistemas de Tiempo Real dicatada por Laprovitta, Agustín Miguel.

Siempre podes consultarlas en el Distribución Docente del correspondiente año:
https://share.google/qoDQXEpip0M9MOHmy (año 2026)"
Cuales son las materias de especialidad 2 astronomia,Cursado,"Las materias de Especialidad II de Astronomía en 2026 son:
- Cúmulos Globulares: Laboratorios Cósmicos de la Evolución Estelar dictada por Muriel, Hernán.
- Elementos de espectroscopía astronómica con red de difracción dictada por Weidmann, Walter Alfredo.
- Estructura en Gran Escala del Universo con Abadi, Mario Gabriel.
- Medio Interestelar, Galaxias Starburst y Núcleos Activos de Galaxias con Gunthardt, Guillermo Iván.
- Radio Astronomía Galáctica y Extragaláctica dicatada por Varlotto, Carlos Alberto

Siempre podés consultarlas en la Distribución Docente del correspondiente año:
https://share.google/qoDQXEpip0M9MOHmy (año 2026)"
